Company,ESG criterias,Score
PepsiCo,Total ESG Risk Score,"20,3"
PepsiCo,Environmental Risk Score,9
PepsiCo,Social Risk Score,"7,6"
PepsiCo,Governance Risk Score,"3,6"
Danone,Total ESG Risk Score,18
Danone,Environmental Risk Score,"9,3"
Danone,Social Risk Score,7
Danone,Governance Risk Score,"1,7"
Nestlé,Total ESG Risk Score,"27,3"
Nestlé,Environmental Risk Score,"10,7"
Nestlé,Social Risk Score,"11,7"
Nestlé,Governance Risk Score,"4,9"
Tyson food,Total ESG Risk Score,"36,8"
Tyson food,Environmental Risk Score,"16,1"
Tyson food,Social Risk Score,"12,7"
Tyson food,Governance Risk Score,8